병/의원명,전화번호,주 소 지 정보,위도,경도
(사)인구보건복지협회경기도지회가족보건의원,031-256-4644,"경기도 수원시 팔달구 고화로14번길 11, (매산로3가) ",37.2710958894,127.008307
(사)한국건강관리협회건강증진의원,031-251-6151,"경기도 수원시 장안구 경수대로 857, (조원동) ",37.2971159711,127.0135656882
(의) 열린의료재단 참사랑의원,031-244-0875,"경기도 수원시 팔달구 덕영대로 693, (화서동) 7층",37.2849146662,126.9902041592
(의)대선의료재단으뜸요양병원,031-363-5200,"경기도 안산시 상록구 용신로 352, (본오동, 목화웨딩홀) ",37.3015344510,126.8611535871
(의)열린의료재단 분당열린의원,031-708-9393,"경기도 성남시 분당구 분당로53번길 22, (서현동, 블루홀빌딩)  4층 ",37.3842655467,127.1228725607
(의)영문의료재단 다보스병원,031-8021-2114,"경기도 용인시 처인구 백옥대로1082번길 18, (김량장동)  다보스종합병원 ",37.2315421543,127.2113984483
(의)유일재단 하나애요양병원,031-339-1000,"경기도 용인시 처인구 백옥대로916번길 48, (남동) ",37.2193592059,127.2135029051
(의)효심의료재단 용인서울병원,031-337-0114,"경기도 용인시 처인구 고림로 81, (고림동) ",37.2403175460,127.2144905421
(재)대성재단 대성제일요양병원,032-610-1330,"경기도 부천시 부흥로373번길 18, (심곡동) ",37.4920316952,126.7838565864
(재)한국산업보건환경연구소부설우리의원,031-871-5671,"경기도 의정부시 가능로 9, (가능동, 수신빌딩) 1층",37.7466909475,127.0321174461
(홍인의료소비자생활협동조합)우리현대의원,031-338-8012,경기도 용인시 처인구 양지면 양지로 137 ,37.2347105200,127.2836801906
153연세연합의원,031-469-1006,"경기도 안양시 만안구 안양로 142, (안양동) 3층",37.3872321260,126.9315449486
21세기내과의원,031-847-8600,"경기도 양주시 고읍남로 6-16, (광사동, 광장프라자 3층) ",37.7956952495,127.0789062075
21세기연세의원,031-711-7770,"경기도 성남시 분당구 성남대로 345, (정자동, 정자역프라자) 7층 701~703호",37.3669418268,127.1077025425
21세기우리의원,031-8003-9003,"경기도 화성시 동탄솔빛로 48, (반송동, 거택프라자) 2,3,4,층",37.1931481147,127.0733814814
21세기의원,031-419-8181,"경기도 안산시 상록구 샘골로 142, (본오동, 동보프라자) ",37.2964030977,126.8633621948
21세기의원,031-702-2021,"경기도 성남시 분당구 돌마로 482, (서현동) 주영빌딩 2층",37.3772874902,127.1336613337
21세기정형외과의원,031-874-7579,"경기도 의정부시 평화로 323, (호원동, 홍인프라자)  3층 ",37.7208711477,127.0472872638
365건강한부곡의원,031-461-9088,"경기도 의왕시 부곡중앙남3길 2, (삼동) ",37.3207696367,126.9508887806
